nL0,B,depth,t
7876277,24,3,10696790
7876277,24,3,15083037
7876277,24,3,16496581
8747029,24,3,359718
8747029,24,3,1235824
8747029,24,3,16552097
10905263,24,3,1362614
10905263,24,3,2748432
10905263,24,3,5241744
10933751,24,3,3948035
17777029,24,3,5765693
17777029,24,3,14175969
19757117,24,3,13729893
21058865,24,3,4080529
21058865,24,3,8279119
21058865,24,3,9148070
23459501,24,3,10533503
23459501,24,3,10727302
23823173,24,3,4056881
23823173,24,3,8378065
23823173,24,3,11832021
24291439,24,3,5166156
24291439,24,3,8938617
24291439,24,3,11201678
25446509,24,3,2168639
25446509,24,3,13482655
25446509,24,3,14813145
30787127,24,3,8533811
35411323,24,3,2562682
35411323,24,3,12551710
35411323,24,3,13030224
35411323,24,3,15791440
36437159,24,3,7749234
36437159,24,3,12296932
36437159,24,3,16323386
36805265,24,3,4534197
36805265,24,3,15468267
38531117,24,3,2605289
38531117,24,3,8956509
38531117,24,3,13266343
38531117,24,3,13966568
39734495,24,3,3459472
39734495,24,3,3644069
40233845,24,3,899530
40233845,24,3,10293910
40233845,24,3,16481602
41891165,24,3,9021183
41891165,24,3,16576334
44817457,24,3,4000989
44817457,24,3,12266094
45079643,24,3,63809
45079643,24,3,7275719
45079643,24,3,7391934
47459683,24,3,3858038
47459683,24,3,7203859
47459683,24,3,16071054
50579525,24,3,5417922
50579525,24,3,8180834
50579525,24,3,8696337
50579525,24,3,9943639
50579525,24,3,11169771
50579525,24,3,11436765
50579525,24,3,16725537
53116985,24,3,523877
58360031,24,3,13522233
64230613,24,3,12564733
64230613,24,3,12710122
71189525,24,3,5787057
71189525,24,3,12172085
87540047,24,3,9017572
88601305,24,3,15782992
94453379,24,3,4553748
94453379,24,3,9377470
94453379,24,3,11202065
101941735,24,3,1357676
101941735,24,3,13827157
161580197,24,3,5232700
161580197,24,3,11046039
163684577,24,3,12476501
163684577,24,3,12929765
163686905,24,3,1366242
163686905,24,3,11632811
163686905,24,3,12748040
165869585,24,3,4071400
165869585,24,3,10060691
184446515,24,3,2356318
184446515,24,3,3002598
184446515,24,3,6201196
189965243,24,3,8990503
189965243,24,3,11255185
205622009,24,3,14149249
207073925,24,3,7674200
214462753,24,3,8389828
258662045,24,3,4795841
258662045,24,3,12347718
262990027,24,3,3269074
262990027,24,3,7241706
262990027,24,3,15623402
284452307,24,3,8415116
284452307,24,3,8454594
284452307,24,3,11910038
295447661,24,3,7589150
295447661,24,3,10500553
322967459,24,3,11959242
322967459,24,3,16197711
335340893,24,3,11629275
335340893,24,3,12507273
335340893,24,3,12867434
335340893,24,3,15265743
342563269,24,3,8667767
342563269,24,3,10984125
342563269,24,3,14019921
350653369,24,3,4195699
350653369,24,3,7921654
350653369,24,3,8829243
350653369,24,3,9655608
352797113,24,3,9059386
360009953,24,3,8515032
409039301,24,3,1509429
409039301,24,3,4008597
409039301,24,3,4423549
409455695,24,3,1128466
415589177,24,3,10464288
415589177,24,3,15718083
458828003,24,3,3854560
458828003,24,3,3924183
458828003,24,3,4684732
485280823,24,3,4478964
581684329,24,3,6464302
581684329,24,3,7162052
593151605,24,3,5967183
593151605,24,3,7451605
599130803,24,3,903692
599130803,24,3,1495743
599130803,24,3,4279009
599130803,24,3,7039924
599130803,24,3,15646266
646238569,24,3,14972561
647041097,24,3,2120275
647041097,24,3,5971952
651151943,24,3,3911243
651151943,24,3,7312732
651151943,24,3,11180900
655926407,24,3,8297890
655926407,24,3,11755209
671503601,24,3,2173723
671503601,24,3,7077245
671503601,24,3,8959765
692376623,24,3,1417372
692376623,24,3,1432128
711566189,24,3,10122270
711566189,24,3,10347123
711566189,24,3,13666073
727921235,24,3,6718446
813021899,24,3,3825350
813021899,24,3,11286216
828173717,24,3,8421429
828173717,24,3,15380676
836259821,24,3,6996249
853155125,24,3,3505025
853155125,24,3,3809784
853155125,24,3,3999050
853155125,24,3,9662970
853155125,24,3,14271705
874413107,24,3,10718390
921275315,24,3,9061818
980599921,24,3,13405969
980599921,24,3,14140017
1039373597,24,3,2945873
1075016447,24,3,6982237
1098818905,24,3,3259007
1098818905,24,3,5581864
1311619661,24,3,1525678
1311619661,24,3,7654901
1311619661,24,3,11320349
1311619661,24,3,16077585
1381912973,24,3,13592727
1407540239,24,3,3170732
1591712237,24,3,445029
1591712237,24,3,963271
1591712237,24,3,1387269
1591712237,24,3,9104892
1597682141,24,3,3547046
1597682141,24,3,3988648
1597682141,24,3,11122753
1618930061,24,3,347873
1618930061,24,3,2921944
1621055741,24,3,9913238
1621055741,24,3,14030805
1674209999,24,3,7496380
1674209999,24,3,14130478
1689941225,24,3,1344181
1689941225,24,3,11448227
1692910121,24,3,10426179
2184428029,24,3,1871426
2184428029,24,3,5555349
2184428029,24,3,11478433
2184428029,24,3,15258941
2312190053,24,3,3415183
4115289329,24,3,11665351
4227239087,24,3,4319262
4227239087,24,3,7731960
4418200075,24,3,14345160
4418200075,24,3,14360418
4418200075,24,3,15353662
4508229179,24,3,10615524
4774563575,24,3,2744009
4774563575,24,3,11260052
4970475085,24,3,7481743
4970475085,24,3,13138235
5077459097,24,3,4254063
5077459097,24,3,12939585
5077459097,24,3,13471176
5077459097,24,3,14864593
5916349799,24,3,3303452
5916349799,24,3,10443585
6110270327,24,3,1225414
6110270327,24,3,5751212
6110270327,24,3,15555878
6435050123,24,3,7511752
6435050123,24,3,8932072
6616641791,24,3,4127741
6616641791,24,3,4954096
7206295717,24,3,4067581
7331420915,24,3,4399796
8163406151,24,3,7175430
8601651415,24,3,3360072
8995602191,24,3,4364408
8995602191,24,3,14898280
9309129373,24,3,6314553
9739484165,24,3,8742389
9739484165,24,3,9723042
10011285133,24,3,5164834
10011285133,24,3,8937080
10331810911,24,3,6464818
10331810911,24,3,9285877
11228712887,24,3,9217812
11228712887,24,3,12130807
11228712887,24,3,13706900
11228712887,24,3,13943187
11468868553,24,3,1899013
11468868553,24,3,3913593
11468868553,24,3,4480096
11468868553,24,3,13735022
11468868553,24,3,15469717
12245109227,24,3,10763145
12245109227,24,3,11677193
13068457325,24,3,6646345
13068457325,24,3,10346117
13068457325,24,3,16316827
15497716367,24,3,9897805
17468537519,24,3,6404953
17468537519,24,3,6575655
18367663841,24,3,2507075
18367663841,24,3,7358201
18841198823,24,3,3498448
18841198823,24,3,5237067
18944113027,24,3,4076811
19003726943,24,3,5737722
19003726943,24,3,9093862
20240104931,24,3,9051773
20240104931,24,3,9819918
20240104931,24,3,14581390
20240104931,24,3,15322502
20240104931,24,3,15649390
20328570415,24,3,14763724
22066084439,24,3,4182626
22066084439,24,3,6871493
22066084439,24,3,14145058
22463640647,24,3,3281073
23334560999,24,3,2863525
23334560999,24,3,5173770
23334560999,24,3,9244588
24070917197,24,3,9951221
24070917197,24,3,11568665
25728805631,24,3,6262120
25728805631,24,3,16063800
26328389687,24,3,1369054
26328389687,24,3,15218231
26536217327,24,3,3650744
26536217327,24,3,4465486
32124160655,24,3,3007440
32124160655,24,3,13339928
33099126659,24,3,1500030
33099126659,24,3,6273939
33099126659,24,3,9737638
33099126659,24,3,11755322
39992575667,24,3,6428325
42645817793,24,3,2437550
42645817793,24,3,6262909
42645817793,24,3,11109023
42676105283,24,3,15883666
44142872879,24,3,3728220
50543191457,24,3,4815887
51646357927,24,3,9023308
52304792741,24,3,3411998
52304792741,24,3,8901938
52304792741,24,3,14509659
52762164437,24,3,4924905
52762164437,24,3,11286549
53249628703,24,3,9580080
53249628703,24,3,10269006
53249628703,24,3,13774319
60502166365,24,3,1738705
68861810569,24,3,10331567
79315673789,24,3,7138749
86834719007,24,3,2933424
93799403443,24,3,1844715
93799403443,24,3,5115220
93799403443,24,3,8681576
94280855951,24,3,205830
98920320839,24,3,1275078
98920320839,24,3,4087204
98920320839,24,3,4611922
100119934889,24,3,15573632
100119934889,24,3,15673044
103190363981,24,3,832571
106646868445,24,3,2374497
106646868445,24,3,8424711
106646868445,24,3,11029395
106646868445,24,3,14941109
284765443781,24,3,8766864
303345108701,24,3,10165969
5297568036839,24,3,10678980
7946352055259,24,3,16018470
